名称,在售价格,在售数量
P250（StatTrak™） | 曼海蒂 (破损不堪),￥228.00,"
                            11"
AUG | 扫频仪 (略有磨损),￥0.14,"
                            22"
AWP | CMYK (崭新出厂),￥13220.00,"
                            39"
法玛斯 | 湖蓝涂装 (略有磨损),￥1.12,"
                            51"
P90 | 破浪者 (久经沙场),￥3.36,"
                            754"
印花 | 雪莉（全息）,￥12.12,"
                            11"
格洛克18型（StatTrak™） | 烈焰天使 (战痕累累),￥2.63,"
                            32"
AWP | 克拉考 (崭新出厂),￥1610.00,"
                            117"
系绳匕首（★ StatTrak™） | 蓝钢 (久经沙场),￥886.00,"
                            11"
鲍伊猎刀（★ StatTrak™） | 森林 DDPAT (战痕累累),￥899.00,"
                            2"
印花 | Ex6TenZ（闪亮）| 2018年伦敦锦标赛,￥125.00,"
                            2"
封装的涂鸦 | 担心 (纯紫),￥0.16,"
                            33"
封装的涂鸦 | 走啦 (灰褐),￥0.12,"
                            16"
内格夫（StatTrak™） | 原型机 (久经沙场),￥1.03,"
                            16"
AK-47（纪念品） | 黑色层压板 (破损不堪),￥438.00,"
                            1"
刺刀（★） | 北方森林 (久经沙场),￥888.00,"
                            23"
双持贝瑞塔 | 皇室伴侣 (久经沙场),￥37.86,"
                            74"
MAC-10 | 鼠鼠我呀 (崭新出厂),￥43.25,"
                            282"
MAC-10 | 核子花园 (崭新出厂),￥110.00,"
                            55"
加利尔AR | 火箭冰棒 (破损不堪),￥4.70,"
                            14"
印花 | drop（全息）| 2025年布达佩斯锦标赛,￥20.00,"
                            1"
加利尔AR | 毁灭者 (略有磨损),￥1.03,"
                            192"
USP消音版（StatTrak™） | 力矩 (久经沙场),￥14.18,"
                            288"
USP消音版（StatTrak™） | PC-GRN (略有磨损),￥8.03,"
                            425"
折叠刀（★ StatTrak™） | 传说 (略有磨损),￥1855.00,"
                            7"
AK-47（StatTrak™） | 墨岩 (略有磨损),￥165.00,"
                            104"
流浪者匕首（★ StatTrak™） | 北方森林 (略有磨损),￥958.00,"
                            6"
印花 | RpK（闪亮）| 2018年波士顿锦标赛,￥241.00,"
                            1"
印花 | kyxsan（全息）| 2024年上海锦标赛,￥2.19,"
                            4"
运动手套（★） | 弹弓 (战痕累累),￥1840.00,"
                            37"
截短霰弹枪 | 么么 (破损不堪),￥23.93,"
                            216"
熊刀（★ StatTrak™） | 狩猎网格 (战痕累累),￥532.00,"
                            11"
短剑（★） | 北方森林 (战痕累累),￥863.00,"
                            27"
短剑（★ StatTrak™） | 表面淬火 (破损不堪),￥2703.00,"
                            5"
PP-野牛 | 都市虚线 (破损不堪),￥0.37,"
                            4"
M4A1消音版 | 原子合金 (久经沙场),￥240.00,"
                            115"
求生匕首（★） | 渐变之色 (略有磨损),￥1670.00,"
                            8"
海豹突击队第六分队士兵 | 海军水面战中心海豹部队,￥83.00,"
                            243"
M4A1消音版（纪念品） | 神来之作 (久经沙场),￥1278.00,"
                            9"
骷髅匕首（★）,￥2146.00,"
                            161"
老K | 专业人士,￥450.00,"
                            336"
SCAR-20 | 沙漠网格 (略有磨损),￥0.07,"
                            21"
印花 | 土官长,￥4.31,"
                            89"
PP-野牛 | 死亡主宰者 (破损不堪),￥19.77,"
                            12"
新星（StatTrak™） | 灼木 (崭新出厂),￥6.79,"
                            34"
P2000（StatTrak™） | 酸蚀 (战痕累累),￥6.20,"
                            26"
USP消音版（StatTrak™） | 力矩 (破损不堪),￥16.41,"
                            14"
USP消音版（StatTrak™） | 铅管 (破损不堪),￥24.59,"
                            14"
印花 | VINI（全息）| 2024年哥本哈根锦标赛,￥28.88,"
                            2"
印花 | Heroic（金色）| 2024年哥本哈根锦标赛,￥16.93,"
                            9"
印花 | 维戈（全息）,￥12.93,"
                            30"
印花 | 灭绝,￥3.14,"
                            49"
印花 | NBK- | 2018年波士顿锦标赛,￥0.00,"
                            0"
2021年斯德哥尔摩锦标赛挑战组印花胶囊,￥19.00,"
                            31"
CZ75自动型 | 黄夹克 (崭新出厂),￥194.00,"
                            16"
UMP-45 | 泥地杀手 (久经沙场),￥0.06,"
                            1400"
格洛克18型 | 远光灯 (崭新出厂),￥0.81,"
                            4317"
MP5-SD | 越野 (破损不堪),￥0.05,"
                            163"
印花 | Lucky（全息）| 2025年奥斯汀锦标赛,￥25.00,"
                            1"
AK-47（StatTrak™） | 局外人 (久经沙场),￥154.00,"
                            90"
Tec-9 | 破铜烂铁 (略有磨损),￥22.98,"
                            14"
M4A1消音版 | 多变迷彩 (崭新出厂),￥9.88,"
                            724"
M4A1消音版 | 泥斑迷彩 (崭新出厂),￥12.00,"
                            737"
运动手套（★） | 迈阿密风云 (略有磨损),￥16500.00,"
                            64"
M4A1消音版 | 简报 (久经沙场),￥27.54,"
                            162"
M4A1消音版 | 简报 (略有磨损),￥45.65,"
                            49"
M4A1消音版 | 血虎 (崭新出厂),￥63.24,"
                            209"
M4A1消音版 | 气泡流行 (崭新出厂),￥69.16,"
                            329"
暗影双匕（★ StatTrak™） | 传说 (战痕累累),￥659.00,"
                            33"
系绳匕首（★ StatTrak™） | 人工染色 (略有磨损),￥815.00,"
                            3"
M4A1消音版 | 简报 (崭新出厂),￥302.99,"
                            49"
印花 | mezii（金色）| 2024年哥本哈根锦标赛,￥29.23,"
                            2"
鲍伊猎刀（★） | 自由之手 (略有磨损),￥543.00,"
                            33"
SSG 08 | 芝诺悖论 (崭新出厂),￥12.32,"
                            814"
2022年安特卫普锦标赛荒漠迷城纪念包,￥27.42,"
                            33"
骷髅匕首（★） | 表面淬火 (战痕累累),￥1740.00,"
                            13"
穿肠刀（★） | 深红之网 (略有磨损),￥894.00,"
                            11"
AK-47 | 幻影破坏者 (破损不堪),￥54.45,"
                            4"
AK-47（StatTrak™） | 燃料喷射器 (略有磨损),￥4068.00,"
                            21"
USP消音版 | 蓝图 (破损不堪),￥42.53,"
                            24"
M9 刺刀（★） | 森林 DDPAT (破损不堪),￥2246.00,"
                            7"
AWP（StatTrak™） | 亡灵之主 (破损不堪),￥64.52,"
                            41"
格洛克18型 | 水灵 (破损不堪),￥118.00,"
                            95"
AK-47（StatTrak™） | 幻影破坏者 (破损不堪),￥142.00,"
                            3"
AK-47 | 荒野反叛 (略有磨损),￥945.00,"
                            85"
挂件 | 小啾啾,￥36.97,"
                            172"
法玛斯 | 纪念碑 (略有磨损),￥222.00,"
                            50"
新星 | 森林之叶 (略有磨损),￥58.74,"
                            15"
G3SG1（纪念品） | 丛林虚线 (久经沙场),￥79.66,"
                            9"
印花 | Lynn Vision（金色）| 2025年奥斯汀锦标赛,￥84.48,"
                            36"
蝴蝶刀（★） | 黑色层压板 (破损不堪),￥4670.00,"
                            36"
裹手（★） | 蟒蛇 (略有磨损),￥859.99,"
                            51"
驾驶手套（★） | 美洲豹女王 (略有磨损),￥1089.00,"
                            52"
FN57 | 霸意大名 (略有磨损),￥4.43,"
                            185"
沙漠之鹰（StatTrak™） | 书法涂鸦 (战痕累累),￥3.77,"
                            160"
摩托手套（★） | 小心烟雾弹 (略有磨损),￥1920.00,"
                            38"
加利尔AR | 金属榨汁机 (崭新出厂),￥13.87,"
                            360"
加利尔AR | 迷人眼 (崭新出厂),￥323.00,"
                            197"
鲍伊猎刀（★ StatTrak™） | 渐变大理石 (略有磨损),￥4120.00,"
                            1"
布章 | 起锚,￥41.52,"
                            6"
印花 | mou | 2017年亚特兰大锦标赛,￥62.12,"
                            6"
印花 | chopper（闪亮）| 2019年卡托维兹锦标赛,￥177.00,"
                            1"
SG 553（纪念品） | 鳄鱼网格 (破损不堪),￥105.00,"
                            2"
印花 | MIBR（闪亮）| 2019年卡托维兹锦标赛,￥116.00,"
                            5"
印花 | YEKINDAR（金色）| 2022年安特卫普锦标赛,￥99.03,"
                            2"
P2000 | 林间猎者 (战痕累累),￥324.00,"
                            1"
摩托手套（★） | 嘭！ (略有磨损),￥2547.99,"
                            60"
印花 | EliGE（闪亮）| 2019年柏林锦标赛,￥15.11,"
                            2"
M4A1消音版 | 二号玩家 (崭新出厂),￥1625.00,"
                            110"
猎杀者匕首（★ StatTrak™） | 都市伪装 (久经沙场),￥950.00,"
                            4"
折刀（★） | 人工染色 (久经沙场),￥375.00,"
                            45"
MAC-10 | 红苹果 (略有磨损),￥1.24,"
                            446"
沙漠之鹰 | 印花集 (略有磨损),￥300.00,"
                            749"
弯刀（★） | 自动化 (破损不堪),￥820.00,"
                            5"
M4A1消音版 | 控制台 (略有磨损),￥208.00,"
                            142"
